Country,Life Expectancy,Total Tax Rate (%)
Afghanistan,64.5,71.4
Albania,78.5,36.6
Algeria,76.7,66.1
Angola,60.8,49.1
Antigua and Barbuda,76.9,43.0
Argentina,76.5,106.3
Armenia,74.9,22.6
Australia,82.7,47.4
Austria,81.6,51.4
Azerbaijan,72.9,40.7
The Bahamas,73.8,33.8
Bahrain,77.2,13.8
Bangladesh,72.3,33.4
Barbados,79.1,35.6
Belarus,74.2,53.3
Belgium,81.6,55.4
Belize,74.5,31.1
Benin,61.5,48.9
Bhutan,71.5,35.3
Bolivia,71.2,83.7
Bosnia and Herzegovina,77.3,23.7
Botswana,69.3,25.1
Brazil,75.7,65.1
Brunei,75.7,8.0
Bulgaria,74.9,28.3
Burkina Faso,61.2,41.3
Burundi,61.2,41.2
Ivory Coast,57.4,50.1
Cape Verde,72.8,37.5
Cambodia,69.6,23.1
Cameroon,58.9,57.7
Canada,81.9,24.5
Central African Republic,52.8,73.3
Chad,54.0,63.5
Chile,80.0,34.0
China,77.0,59.2
Colombia,77.1,71.2
Comoros,64.1,219.6
Republic of the Congo,64.3,54.3
Costa Rica,80.1,58.3
Croatia,78.1,20.5
Cyprus,80.8,22.4
Czech Republic,79.0,46.1
Democratic Republic of the Congo,60.4,50.7
Denmark,81.0,23.8
Djibouti,66.6,37.9
Dominica,76.6,32.6
Dominican Republic,73.9,48.8
Ecuador,76.8,34.4
Egypt,71.8,44.4
El Salvador,73.1,36.4
Equatorial Guinea,58.4,79.4
Eritrea,65.9,83.7
Estonia,78.2,47.8
Ethiopia,66.2,37.7
Fiji,67.3,32.1
Finland,81.7,36.6
France,82.5,60.7
Gabon,66.2,47.1
The Gambia,61.7,48.4
Georgia,73.6,9.9
Germany,80.9,48.8
Ghana,63.8,55.4
Greece,81.3,51.9
Grenada,72.4,47.8
Guatemala,74.1,35.2
Guinea,61.2,69.3
Guinea-Bissau,58.0,45.5
Guyana,69.8,30.6
Haiti,63.7,42.7
Honduras,75.1,39.1
Hungary,75.8,37.9
Iceland,82.7,31.9
India,69.4,49.7
Indonesia,71.5,30.1
Iran,76.5,44.7
Iraq,70.5,30.8
Republic of Ireland,82.3,26.1
Israel,82.8,25.3
Italy,82.9,59.1
Jamaica,74.4,35.1
Japan,84.2,46.7
Jordan,74.4,28.6
Kazakhstan,73.2,28.4
Kenya,66.3,37.2
Kiribati,68.1,32.7
Kuwait,75.4,13.0
Kyrgyzstan,71.4,29.0
Laos,67.6,24.1
Latvia,74.7,38.1
Lebanon,78.9,32.2
Lesotho,53.7,13.6
Liberia,63.7,46.2
Libya,72.7,32.6
Liechtenstein,83.0,21.6
Lithuania,75.7,42.6
Luxembourg,82.1,20.4
Madagascar,66.7,38.3
Malawi,63.8,34.5
Malaysia,76.0,38.7
Maldives,78.6,30.2
Mali,58.9,54.5
Malta,82.3,44.0
Marshall Islands,65.2,65.9
Mauritania,64.7,67.0
Mauritius,74.4,22.2
Mexico,75.0,55.1
Federated States of Micronesia,67.8,60.5
Moldova,71.8,38.7
Mongolia,69.7,25.7
Montenegro,76.8,22.2
Morocco,76.5,45.8
Mozambique,60.2,36.1
Myanmar,66.9,31.2
Namibia,63.4,20.7
Nepal,70.5,41.8
Netherlands,81.8,41.2
New Zealand,81.9,34.6
Nicaragua,74.3,60.6
Niger,62.0,47.2
Nigeria,54.3,34.8
Norway,82.8,36.2
Oman,77.6,27.4
Pakistan,67.1,33.9
Palau,69.1,76.6
Panama,78.3,37.2
Papua New Guinea,64.3,37.1
Paraguay,74.1,35.0
Peru,76.5,36.8
Philippines,71.1,43.1
Poland,77.6,40.8
Portugal,81.3,39.8
Qatar,80.1,11.3
Romania,75.4,20.0
Russia,72.7,46.2
Rwanda,68.7,33.2
Saint Kitts and Nevis,71.3,49.7
Saint Lucia,76.1,34.7
Saint Vincent and the Grenadines,72.4,37.0
Samoa,73.2,19.3
San Marino,85.4,36.2
S�����������,70.2,37.0
Saudi Arabia,75.0,15.7
Senegal,67.7,44.8
Serbia,75.5,36.6
Seychelles,72.8,30.1
Sierra Leone,54.3,30.7
Singapore,83.1,21.0
Slovakia,77.2,49.7
Slovenia,81.0,31.0
Solomon Islands,72.8,32.0
South Africa,63.9,29.2
South Korea,82.6,33.2
South Sudan,57.6,31.4
Spain,83.3,47.0
Sri Lanka,76.8,55.2
Sudan,65.1,45.4
Suriname,71.6,27.9
Sweden,82.5,49.1
Switzerland,83.6,28.8
Syria,71.8,42.7
Tajikistan,70.9,67.3
Tanzania,65.0,43.8
Thailand,76.9,29.5
East Timor,69.3,17.3
Togo,60.8,48.2
Tonga,70.8,27.5
Trinidad and Tobago,73.4,40.5
Tunisia,76.5,60.7
Turkey,77.4,42.3
Uganda,63.0,33.7
Ukraine,71.6,45.2
United Arab Emirates,77.8,15.9
United Kingdom,81.3,30.6
United States,78.5,36.6
Uruguay,77.8,41.8
Uzbekistan,71.6,31.6
Vanuatu,70.3,8.5
Venezuela,72.1,73.3
Vietnam,75.3,37.6
Yemen,66.1,26.6
Zambia,63.5,15.6
Zimbabwe,61.2,31.6
